flavor_id,flavor_name
FLV-001,Mint Chocolate Chip
FLV-002,Puss in Boots
FLV-003,Shooting Star
FLV-004,Almond Bon Bon
FLV-005,New York Cheesecake
FLV-006,Cherry Jubilee
FLV-007,Very Berry Strawberry
FLV-008,Rainbow Sherbet
FLV-009,Chocolate Mousse
FLV-010,Cookies 'n Cream
FLV-011,Love Potion #31
FLV-012,Cotton Candy Wonderland
FLV-013,Jamoca Almond Fudge
FLV-014,Green Tea
FLV-015,Pistachio Almond
FLV-016,Pralines 'n Cream
FLV-017,Twinberry Cheesecake
FLV-018,Vanilla
FLV-019,Chocolate
FLV-020,31 Yogurt
